Dataset,Run,Runtime,GOReached
nk_20_16,1,2.2573940753936768,false
nk_20_16,2,2.0551390647888184,false
nk_20_16,3,2.049445152282715,false
nk_20_16,4,2.0685830116271973,false
nk_20_16,5,2.049607992172241,false
nk_20_16,6,2.058176040649414,false
nk_20_16,7,2.065535068511963,false
nk_20_16,8,1.8540480136871338,true
nk_20_16,9,2.062304973602295,false
nk_20_16,10,0.961493968963623,true
nk_20_16,11,2.057199001312256,false
nk_20_16,12,0.36023378372192383,true
nk_20_16,13,2.0723540782928467,false
nk_20_16,14,2.0418989658355713,false
nk_20_16,15,1.7578239440917969,true
nk_20_16,16,2.055542230606079,false
nk_20_16,17,2.061180830001831,false
nk_20_16,18,2.0630979537963867,false
nk_20_16,19,0.7632429599761963,true
nk_20_16,20,2.052186965942383,false
nk_20_16,21,2.051990032196045,false
nk_20_16,22,2.0646250247955322,false
nk_20_16,23,2.0566179752349854,false
nk_20_16,24,2.1173739433288574,false
nk_20_16,25,1.2982118129730225,true
nk_20_16,26,2.063599109649658,false
nk_20_16,27,2.0565009117126465,false
nk_20_16,28,2.0311100482940674,true
nk_20_16,29,0.9595279693603516,true
nk_20_16,30,2.0656609535217285,false
nk_20_16,31,2.0720760822296143,false
nk_20_16,32,2.0498859882354736,false
nk_20_16,33,0.7981729507446289,true
nk_20_16,34,2.059358835220337,false
nk_20_16,35,1.2187199592590332,true
nk_20_16,36,2.0598318576812744,false
nk_20_16,37,0.3354170322418213,true
nk_20_16,38,2.0601508617401123,false
nk_20_16,39,2.071424961090088,false
nk_20_16,40,2.05279803276062,false
nk_20_16,41,0.23534798622131348,true
nk_20_16,42,2.0675971508026123,false
nk_20_16,43,2.054337978363037,false
nk_20_16,44,2.067331075668335,false
nk_20_16,45,2.053462028503418,false
nk_20_16,46,2.066272020339966,false
nk_20_16,47,0.16256093978881836,true
nk_20_16,48,2.0621869564056396,false
nk_20_16,49,1.1691081523895264,true
nk_20_16,50,2.0534870624542236,false
nk_20_16,51,2.0664401054382324,false
nk_20_16,52,2.0468909740448,false
nk_20_16,53,2.061594009399414,false
nk_20_16,54,2.0542831420898438,false
nk_20_16,55,2.0624029636383057,false
nk_20_16,56,2.053654193878174,false
nk_20_16,57,2.0650570392608643,false
nk_20_16,58,2.089353084564209,false
nk_20_16,59,2.0558838844299316,false
nk_20_16,60,2.0487759113311768,false
nk_20_16,61,2.0435709953308105,false
nk_20_16,62,1.190636157989502,true
nk_20_16,63,2.072434902191162,false
nk_20_16,64,2.062175989151001,false
nk_20_16,65,0.8633408546447754,true
nk_20_16,66,0.4704399108886719,true
nk_20_16,67,2.070990800857544,false
nk_20_16,68,2.049833059310913,false
nk_20_16,69,2.056743860244751,false
nk_20_16,70,0.23760414123535156,true
nk_20_16,71,1.5457699298858643,true
nk_20_16,72,2.0712718963623047,false
nk_20_16,73,0.6875350475311279,true
nk_20_16,74,2.0743770599365234,false
nk_20_16,75,1.6835830211639404,true
nk_20_16,76,2.0698461532592773,false
nk_20_16,77,2.047524929046631,false
nk_20_16,78,1.5757091045379639,true
nk_20_16,79,2.055706024169922,false
nk_20_16,80,2.052567958831787,false
nk_20_16,81,2.0536999702453613,false
nk_20_16,82,2.0625040531158447,false
nk_20_16,83,2.050302028656006,false
nk_20_16,84,2.050251007080078,false
nk_20_16,85,2.0595970153808594,false
nk_20_16,86,2.0585479736328125,false
nk_20_16,87,2.0527758598327637,false
nk_20_16,88,2.0573809146881104,false
nk_20_16,89,2.0617809295654297,false
nk_20_16,90,2.069430112838745,false
nk_20_16,91,2.0626838207244873,false
nk_20_16,92,0.1771090030670166,true
nk_20_16,93,2.060992956161499,false
nk_20_16,94,0.39987802505493164,true
nk_20_16,95,1.5412259101867676,true
nk_20_16,96,2.063478946685791,false
nk_20_16,97,2.0552921295166016,true
nk_20_16,98,2.0694921016693115,false
nk_20_16,99,2.076831102371216,false
nk_20_16,100,2.0819342136383057,false
