Dataset,Run,Runtime,GOReached
heart_13,1,0.2560420036315918,true
heart_13,2,0.09021592140197754,true
heart_13,3,0.02672410011291504,true
heart_13,4,0.08072495460510254,true
heart_13,5,0.03908395767211914,true
heart_13,6,0.06150507926940918,true
heart_13,7,0.06846904754638672,true
heart_13,8,0.0223538875579834,true
heart_13,9,0.05666017532348633,true
heart_13,10,0.04328489303588867,true
heart_13,11,0.05656909942626953,true
heart_13,12,0.04527616500854492,true
heart_13,13,0.08728814125061035,true
heart_13,14,0.06631708145141602,true
heart_13,15,0.07150411605834961,true
heart_13,16,0.030884981155395508,true
heart_13,17,0.035173892974853516,true
heart_13,18,0.0351719856262207,true
heart_13,19,0.04220008850097656,true
heart_13,20,0.027534961700439453,true
heart_13,21,0.041155099868774414,true
heart_13,22,0.01553487777709961,true
heart_13,23,0.026488065719604492,true
heart_13,24,0.020305156707763672,true
heart_13,25,0.10084915161132812,true
heart_13,26,0.0495908260345459,true
heart_13,27,0.05718207359313965,true
heart_13,28,0.03908801078796387,true
heart_13,29,0.06018185615539551,true
heart_13,30,0.10719990730285645,true
heart_13,31,0.0378110408782959,true
heart_13,32,0.07946610450744629,true
heart_13,33,0.07017898559570312,true
heart_13,34,0.07495284080505371,true
heart_13,35,5.2928924560546875e-5,true
heart_13,36,0.06125283241271973,true
heart_13,37,0.019276142120361328,true
heart_13,38,6.699562072753906e-5,true
heart_13,39,0.015093088150024414,true
heart_13,40,0.02443718910217285,true
heart_13,41,0.07872986793518066,true
heart_13,42,0.011389970779418945,true
heart_13,43,0.07781291007995605,true
heart_13,44,0.03274393081665039,true
heart_13,45,0.05086207389831543,true
heart_13,46,0.037065982818603516,true
heart_13,47,0.052094221115112305,true
heart_13,48,0.0823049545288086,true
heart_13,49,0.031193971633911133,true
heart_13,50,0.03457283973693848,true
heart_13,51,0.05380988121032715,true
heart_13,52,0.03904414176940918,true
heart_13,53,0.08142209053039551,true
heart_13,54,0.01489710807800293,true
heart_13,55,0.021424055099487305,true
heart_13,56,0.058544158935546875,true
heart_13,57,0.06449222564697266,true
heart_13,58,0.003918170928955078,true
heart_13,59,0.01888298988342285,true
heart_13,60,0.02875494956970215,true
heart_13,61,0.0801389217376709,true
heart_13,62,0.026694059371948242,true
heart_13,63,0.01871800422668457,true
heart_13,64,0.032032012939453125,true
heart_13,65,0.07594799995422363,true
heart_13,66,0.023134946823120117,true
heart_13,67,0.0504610538482666,true
heart_13,68,0.012534856796264648,true
heart_13,69,0.037698984146118164,true
heart_13,70,0.008896827697753906,true
heart_13,71,0.04143404960632324,true
heart_13,72,0.04762005805969238,true
heart_13,73,0.0353240966796875,true
heart_13,74,0.05818605422973633,true
heart_13,75,0.051904916763305664,true
heart_13,76,0.05837512016296387,true
heart_13,77,0.04560494422912598,true
heart_13,78,0.03487205505371094,true
heart_13,79,0.03755307197570801,true
heart_13,80,5.602836608886719e-5,true
heart_13,81,0.030807018280029297,true
heart_13,82,0.02472710609436035,true
heart_13,83,0.15140008926391602,true
heart_13,84,0.025949954986572266,true
heart_13,85,0.019829988479614258,true
heart_13,86,0.11055493354797363,true
heart_13,87,0.020936012268066406,true
heart_13,88,0.03878498077392578,true
heart_13,89,0.07712411880493164,true
heart_13,90,0.10215902328491211,true
heart_13,91,0.04152202606201172,true
heart_13,92,0.054717063903808594,true
heart_13,93,5.412101745605469e-5,true
heart_13,94,0.06257200241088867,true
heart_13,95,0.06950998306274414,true
heart_13,96,0.03568315505981445,true
heart_13,97,0.04840898513793945,true
heart_13,98,0.02324199676513672,true
heart_13,99,0.03404402732849121,true
heart_13,100,0.01974201202392578,true
