Dataset,Run,Runtime,GOReached
zoo_16,1,0.7979679107666016,true
zoo_16,2,0.2940530776977539,true
zoo_16,3,0.09239697456359863,true
zoo_16,4,1.3430440425872803,true
zoo_16,5,0.6825401782989502,true
zoo_16,6,1.364734172821045,true
zoo_16,7,0.3072929382324219,true
zoo_16,8,1.4705111980438232,false
zoo_16,9,0.6471719741821289,true
zoo_16,10,0.5483100414276123,true
zoo_16,11,0.6623280048370361,true
zoo_16,12,0.6591851711273193,true
zoo_16,13,0.1914219856262207,true
zoo_16,14,0.2357339859008789,true
zoo_16,15,0.5902152061462402,true
zoo_16,16,0.45049285888671875,true
zoo_16,17,0.15676617622375488,true
zoo_16,18,1.4710938930511475,false
zoo_16,19,0.955935001373291,true
zoo_16,20,0.16625404357910156,true
zoo_16,21,0.06742691993713379,true
zoo_16,22,1.4462800025939941,false
zoo_16,23,0.34137916564941406,true
zoo_16,24,1.4604499340057373,false
zoo_16,25,0.16454696655273438,true
zoo_16,26,0.8682279586791992,true
zoo_16,27,1.4235210418701172,true
zoo_16,28,0.386106014251709,true
zoo_16,29,0.5222809314727783,true
zoo_16,30,1.457719087600708,false
zoo_16,31,0.14525508880615234,true
zoo_16,32,0.20153498649597168,true
zoo_16,33,1.0263309478759766,true
zoo_16,34,1.3013639450073242,true
zoo_16,35,0.45155906677246094,true
zoo_16,36,0.7674579620361328,true
zoo_16,37,0.4728858470916748,true
zoo_16,38,0.3745458126068115,true
zoo_16,39,0.01773810386657715,true
zoo_16,40,0.0775151252746582,true
zoo_16,41,0.256558895111084,true
zoo_16,42,1.4722740650177002,false
zoo_16,43,0.006354093551635742,true
zoo_16,44,1.2484068870544434,true
zoo_16,45,0.7490279674530029,true
zoo_16,46,0.17492198944091797,true
zoo_16,47,0.3675057888031006,true
zoo_16,48,1.450308084487915,false
zoo_16,49,0.18453407287597656,true
zoo_16,50,0.3380320072174072,true
zoo_16,51,0.06390905380249023,true
zoo_16,52,1.3104979991912842,true
zoo_16,53,1.4621169567108154,false
zoo_16,54,0.01409912109375,true
zoo_16,55,1.4704360961914062,false
zoo_16,56,0.17920494079589844,true
zoo_16,57,0.28907299041748047,true
zoo_16,58,0.02043294906616211,true
zoo_16,59,0.15196990966796875,true
zoo_16,60,0.6633548736572266,true
zoo_16,61,0.09969806671142578,true
zoo_16,62,0.7848601341247559,true
zoo_16,63,0.9070758819580078,true
zoo_16,64,0.248046875,true
zoo_16,65,0.745952844619751,true
zoo_16,66,0.5179150104522705,true
zoo_16,67,0.7905189990997314,true
zoo_16,68,0.07620120048522949,true
zoo_16,69,1.4665508270263672,false
zoo_16,70,0.23714208602905273,true
zoo_16,71,0.22269916534423828,true
zoo_16,72,0.049021005630493164,true
zoo_16,73,0.37593603134155273,true
zoo_16,74,0.39932990074157715,true
zoo_16,75,0.017762184143066406,true
zoo_16,76,0.8088119029998779,true
zoo_16,77,0.43357396125793457,true
zoo_16,78,0.30661606788635254,true
zoo_16,79,0.7164881229400635,true
zoo_16,80,0.6112639904022217,true
zoo_16,81,0.10779404640197754,true
zoo_16,82,0.006515979766845703,true
zoo_16,83,0.0927729606628418,true
zoo_16,84,0.10978293418884277,true
zoo_16,85,0.5791239738464355,true
zoo_16,86,0.8764369487762451,true
zoo_16,87,0.023700952529907227,true
zoo_16,88,0.5423319339752197,true
zoo_16,89,0.09533286094665527,true
zoo_16,90,0.9073781967163086,true
zoo_16,91,0.3630809783935547,true
zoo_16,92,0.8828730583190918,true
zoo_16,93,0.007684946060180664,true
zoo_16,94,0.5262670516967773,true
zoo_16,95,0.3396890163421631,true
zoo_16,96,0.09216809272766113,true
zoo_16,97,0.2155909538269043,true
zoo_16,98,0.8690869808197021,true
zoo_16,99,0.9898989200592041,true
zoo_16,100,0.901425838470459,true
