Dataset,Run,Runtime,GOReached
hep_19,1,2.1558940410614014,false
hep_19,2,0.9547560214996338,true
hep_19,3,0.8950529098510742,true
hep_19,4,1.0252070426940918,true
hep_19,5,1.9546098709106445,false
hep_19,6,0.9937729835510254,true
hep_19,7,1.9720220565795898,false
hep_19,8,1.86940598487854,true
hep_19,9,1.9505360126495361,false
hep_19,10,1.9633009433746338,false
hep_19,11,1.9661149978637695,false
hep_19,12,1.9618120193481445,false
hep_19,13,1.976318120956421,false
hep_19,14,0.2491929531097412,true
hep_19,15,1.966871976852417,false
hep_19,16,1.961623191833496,false
hep_19,17,1.9727070331573486,false
hep_19,18,1.9538609981536865,false
hep_19,19,1.9628911018371582,false
hep_19,20,0.9849519729614258,true
hep_19,21,1.1291298866271973,true
hep_19,22,1.9732091426849365,false
hep_19,23,1.9466300010681152,false
hep_19,24,1.9592838287353516,false
hep_19,25,1.9711291790008545,false
hep_19,26,1.9681010246276855,false
hep_19,27,1.9637529850006104,false
hep_19,28,1.314974069595337,true
hep_19,29,1.953542947769165,false
hep_19,30,1.9530229568481445,false
hep_19,31,0.3350260257720947,true
hep_19,32,0.371906042098999,true
hep_19,33,1.9980428218841553,false
hep_19,34,1.966398000717163,false
hep_19,35,1.9573981761932373,false
hep_19,36,1.9748680591583252,false
hep_19,37,0.7965569496154785,true
hep_19,38,0.8329780101776123,true
hep_19,39,1.9655380249023438,false
hep_19,40,1.9599928855895996,false
hep_19,41,1.9605882167816162,false
hep_19,42,1.9711370468139648,false
hep_19,43,0.22106099128723145,true
hep_19,44,1.2048630714416504,true
hep_19,45,1.9631760120391846,false
hep_19,46,1.9695680141448975,false
hep_19,47,1.0002479553222656,true
hep_19,48,0.6820709705352783,true
hep_19,49,1.9563770294189453,false
hep_19,50,1.960479974746704,false
hep_19,51,1.965919017791748,false
hep_19,52,1.9611990451812744,false
hep_19,53,1.121514081954956,true
hep_19,54,1.9665420055389404,false
hep_19,55,1.957726001739502,false
hep_19,56,0.46314096450805664,true
hep_19,57,1.238935947418213,true
hep_19,58,1.9629390239715576,false
hep_19,59,1.9625449180603027,false
hep_19,60,1.9536340236663818,false
hep_19,61,1.9489209651947021,false
hep_19,62,1.959601879119873,false
hep_19,63,1.9634308815002441,false
hep_19,64,1.9647140502929688,false
hep_19,65,1.9746499061584473,false
hep_19,66,1.9794628620147705,false
hep_19,67,1.9655649662017822,false
hep_19,68,1.9609308242797852,false
hep_19,69,1.9579689502716064,false
hep_19,70,0.18754100799560547,true
hep_19,71,1.9563779830932617,false
hep_19,72,1.9699060916900635,false
hep_19,73,1.9660470485687256,false
hep_19,74,1.9696319103240967,false
hep_19,75,0.304581880569458,true
hep_19,76,1.9612109661102295,false
hep_19,77,1.959165096282959,false
hep_19,78,1.9604291915893555,false
hep_19,79,0.5187489986419678,true
hep_19,80,1.96018385887146,false
hep_19,81,1.9571938514709473,false
hep_19,82,1.9604690074920654,false
hep_19,83,1.958921194076538,false
hep_19,84,1.9714350700378418,false
hep_19,85,1.9760940074920654,false
hep_19,86,1.9713950157165527,false
hep_19,87,1.96138596534729,false
hep_19,88,1.964155912399292,false
hep_19,89,1.9665961265563965,false
hep_19,90,0.7261378765106201,true
hep_19,91,1.9626939296722412,false
hep_19,92,1.9673759937286377,false
hep_19,93,1.9648780822753906,false
hep_19,94,1.9593150615692139,false
hep_19,95,0.25070905685424805,true
hep_19,96,1.9592280387878418,false
hep_19,97,1.9609260559082031,false
hep_19,98,1.973897933959961,false
hep_19,99,1.9639229774475098,false
hep_19,100,1.9645440578460693,false
